# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22578 22578
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
i 2 8160 0 0 54227 23794
p 2 0 278 7882 1327 1294
p 2 0 41 8119 1142 1138
p 2 0 32 8128 1129 1129
p 2 0 13 8147 1116 1114
p 2 0 7 8153 1110 1110
p 2 0 3 8157 1105 1105
p 2 0 4 8156 1106 1106
p 2 0 0 8160 1102 1102
p 2 0 4 8156 1107 1106
p 2 0 1 8159 1105 1104
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 1 8159 1104 1103
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 1 8159 1105 1103
p 2 0 1 8159 1105 1103
p 2 0 1 8159 1104 1103
p 2 0 0 8160 1102 1102
p 2 0 2 8158 1104 1104
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 1 8159 1105 1103
p 2 0 2 8158 1106 1104
p 2 0 1 8159 1104 1103
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 2 8158 1109 1104
p 2 0 2 8158 1107 1104
p 2 0 0 8160 1102 1102
p 2 0 2 8158 1104 1104
p 2 0 0 8160 1102 1102
p 2 283 818 7059 34905 4054
p 2 0 410 7750 2022 1721
p 2 0 152 8008 1292 1245
p 2 0 43 8117 1163 1152
p 2 0 43 8117 1143 1142
p 2 0 22 8138 1121 1121
p 2 0 15 8145 1116 1116
p 2 0 11 8149 1113 1112
p 2 0 9 8151 1110 1110
p 2 0 3 8157 1105 1105
p 2 0 4 8156 1106 1106
p 2 0 0 8160 1102 1102
p 2 0 3 8157 1105 1105
p 2 0 0 8160 1102 1102
p 2 0 1 8159 1103 1103
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
p 2 0 0 8160 1102 1102
