# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 67760 4476
p 2 0 917 3 18261 1261
p 2 0 918 2 20117 1265
p 2 0 919 1 16438 1220
p 2 0 914 6 21335 1307
p 2 0 918 2 17286 1261
p 2 0 917 3 21575 1329
p 2 0 920 0 17285 1286
p 2 0 919 1 20944 1312
p 2 0 920 0 17143 1280
p 2 0 920 0 20997 1314
p 2 0 918 2 17428 1289
p 2 0 918 2 20714 1321
p 2 0 919 1 17218 1299
p 2 0 919 1 20586 1315
p 2 0 918 2 17069 1280
p 2 0 916 4 20307 1309
p 2 0 917 3 16848 1275
p 2 0 916 4 20191 1311
p 2 0 920 0 17009 1284
p 2 0 920 0 19614 1320
p 2 0 919 1 16613 1277
p 2 0 919 1 19836 1322
p 2 0 918 2 16433 1258
p 2 0 919 1 19569 1307
p 2 0 918 2 16209 1275
p 2 0 920 0 19397 1319
p 2 0 918 2 16704 1286
p 2 0 920 0 19018 1317
p 2 0 920 0 16208 1287
p 2 0 919 1 19003 1321
p 2 0 919 1 16364 1275
p 2 0 918 2 18691 1316
p 2 0 920 0 16155 1294
p 2 0 918 2 18373 1307
p 2 0 919 1 16524 1308
p 2 0 918 2 18229 1303
p 2 0 918 2 16171 1286
p 2 0 918 2 18065 1311
p 2 0 920 0 16368 1282
p 2 0 920 0 17828 1305
p 2 0 919 1 16201 1296
p 2 0 919 1 17759 1311
p 2 0 917 3 16295 1307
p 2 0 918 2 17426 1301
p 2 0 916 4 15818 1283
p 2 0 919 1 17467 1317
p 2 0 919 1 16211 1324
p 2 0 919 1 17225 1303
p 2 0 919 1 15944 1305
p 2 0 918 2 16986 1304
p 2 0 919 1 15910 1287
p 2 0 920 0 16592 1304
p 2 0 915 5 15644 1288
p 2 0 918 2 16641 1305
p 2 0 917 3 15336 1291
p 2 0 918 2 16418 1311
p 2 0 919 1 15227 1299
p 2 0 920 0 15974 1295
p 2 0 919 1 14830 1263
p 2 0 920 0 16072 1300
p 2 0 918 2 15014 1300
p 2 0 917 3 15682 1306
p 2 0 916 4 14709 1274
p 2 0 920 0 15903 1332
p 2 0 919 1 14579 1291
p 2 0 920 0 15655 1308
p 2 0 920 0 14346 1286
p 2 0 918 2 15725 1308
p 2 0 919 1 14142 1288
p 2 0 918 2 15204 1303
p 2 0 917 3 14156 1305
p 2 0 918 2 15158 1299
p 2 0 916 4 13690 1286
p 2 0 919 1 14894 1295
p 2 0 915 5 13875 1285
p 2 0 920 0 14618 1287
p 2 0 920 0 13540 1287
p 2 0 918 2 14641 1296
p 2 0 919 1 13306 1280
p 2 0 920 0 14333 1297
p 2 0 919 1 13276 1284
p 2 0 918 2 14276 1287
p 2 0 917 3 12897 1265
p 2 0 917 3 13802 1283
p 2 0 920 0 12675 1275
p 2 0 918 2 13879 1277
p 2 0 920 0 12711 1283
p 2 0 919 1 13834 1307
p 2 0 912 8 12238 1261
p 2 0 919 1 13622 1294
p 2 0 917 3 11979 1248
p 2 0 918 2 13474 1271
p 2 0 918 2 11875 1258
p 2 0 920 0 13322 1257
i 2 920 0 0 28730 3996
p 2 0 395 525 872 598
p 2 0 383 537 930 587
p 2 3 422 495 9069 896
p 2 0 420 500 1342 647
p 2 0 282 638 1004 506
p 2 1 422 497 6973 835
p 2 0 324 596 1297 555
p 2 0 304 616 1124 525
p 2 0 367 553 6580 777
p 2 0 319 601 1243 547
p 2 0 259 661 1032 481
p 2 0 369 551 5256 698
p 2 0 277 643 1198 513
p 2 0 268 652 1071 491
p 2 0 345 575 5878 708
p 2 0 288 632 1226 510
p 2 0 210 710 873 426
p 2 15 342 563 8277 795
p 2 0 245 675 864 458
p 2 0 189 731 666 388
p 2 35 291 594 11164 924
p 2 0 279 641 1086 508
p 2 0 225 695 758 426
p 2 43 361 516 13989 1138
p 2 0 354 566 1399 600
p 2 0 285 635 1094 510
p 2 8 426 486 11154 960
p 2 0 372 548 1424 619
p 2 0 253 667 985 475
p 2 10 455 455 11317 1005
p 2 0 381 539 1475 611
p 2 0 277 643 1087 503
p 2 2 381 537 7537 770
p 2 0 340 580 1383 580
p 2 0 280 640 1128 501
p 2 2 374 544 7640 746
p 2 0 282 638 981 500
p 2 4 321 595 8943 765
p 2 0 298 622 1111 515
p 2 8 338 574 8544 788
p 2 0 306 614 1156 535
p 2 24 375 521 10353 951
p 2 0 303 617 1129 529
p 2 0 247 673 1002 467
p 2 0 218 702 894 433
p 2 0 244 676 1072 468
p 2 0 193 727 781 397
p 2 0 162 758 737 374
p 2 0 207 713 958 431
p 2 0 211 709 982 436
p 2 0 356 564 7298 712
p 2 0 288 632 1206 517
p 2 0 202 718 798 410
p 2 0 357 563 5996 675
p 2 0 256 664 798 449
