# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 415905 44723
p 2 7 8125 28 66638 12543
p 2 10 8140 10 75707 12985
p 2 10 8134 16 71250 12906
p 2 5 8143 12 77674 13207
p 2 13 8125 22 98930 14010
p 2 7 8140 13 77253 13342
p 2 6 8139 15 90071 13775
p 2 8 8141 11 81388 13578
p 2 7 8138 15 97423 14070
p 2 5 8149 6 75336 13336
p 2 9 8138 13 80225 13378
p 2 11 8136 13 82030 13643
p 2 9 8139 12 93153 13890
p 2 10 8144 6 76919 13438
p 2 2 8149 9 77224 13365
p 2 6 8145 9 83015 13684
p 2 17 8133 10 80619 13621
p 2 9 8135 16 94611 14015
p 2 12 8137 11 78027 13485
p 2 12 8134 14 77796 13393
p 2 7 8141 12 80308 13580
p 2 4 8152 4 79609 13578
p 2 6 8137 17 94224 13997
p 2 5 8147 8 75422 13428
p 2 6 8139 15 77751 13408
p 2 4 8143 13 74132 12953
p 2 8 8141 11 77493 13444
p 2 5 8146 9 89172 13738
p 2 3 8149 8 75489 13385
p 2 11 8141 8 75097 13254
p 2 5 8146 9 74482 13290
p 2 8 8136 16 74860 13350
p 2 3 8146 11 90887 13852
p 2 9 8140 11 73876 13436
p 2 18 8129 13 78602 13369
p 2 26 8123 11 79302 13548
p 2 13 8128 19 91141 13825
p 2 12 8136 12 74502 13298
p 2 10 8130 20 77634 13382
p 2 11 8131 18 77028 13322
p 2 12 8129 19 77178 13410
p 2 8 8131 21 88104 13693
p 2 11 8131 18 76617 13373
p 2 10 8126 24 75113 13280
p 2 7 8139 14 75294 13254
p 2 19 8123 18 76279 13428
p 2 11 8134 15 89859 13822
p 2 16 8119 25 73678 13326
p 2 10 8127 23 75644 13193
p 2 14 8138 8 74425 13243
p 2 6 8135 19 76679 13340
p 2 12 8132 16 82072 13601
p 2 5 8141 14 74935 13293
p 2 5 8138 17 74816 13191
p 2 8 8131 21 74403 13246
p 2 13 8128 19 73602 13243
p 2 5 8126 29 77837 13347
p 2 7 8136 17 71993 13200
p 2 2 8143 15 77363 13228
i 2 8160 0 0 481357 43258
p 2 0 1293 6867 3280 2378
p 2 0 737 7423 2369 1828
p 2 0 299 7861 1642 1409
p 2 0 279 7881 1613 1384
p 2 0 183 7977 1455 1290
p 2 0 141 8019 1348 1245
p 2 0 125 8035 1322 1227
p 2 0 103 8057 1269 1202
p 2 0 53 8107 1194 1158
p 2 0 68 8092 1225 1171
p 2 0 56 8104 1195 1156
p 2 871 7289 0 194674 19878
p 2 753 7386 21 195674 19498
p 2 504 7504 152 166844 18701
p 2 506 7634 20 185032 19501
p 2 475 7660 25 182616 19563
p 2 339 7799 22 155380 18761
p 2 328 7819 13 148749 18942
p 2 200 7924 36 139202 18450
p 2 205 7914 41 139534 18558
p 2 137 7961 62 124709 18248
p 2 120 7958 82 113927 17881
p 2 115 7932 113 113058 17941
p 2 124 7915 121 109534 17577
p 2 0 7998 162 43443 12736
p 2 0 7765 395 40556 11473
p 2 0 7902 258 40904 11923
p 2 0 7700 460 40480 10932
p 2 0 7829 331 42152 11867
p 2 0 7544 616 39162 10642
p 2 0 7727 433 40124 11566
p 2 0 7558 602 40048 10722
p 2 0 7652 508 41502 11604
p 2 0 7378 782 38996 10483
p 2 0 7533 627 39690 11385
p 2 0 7339 821 39581 10577
p 2 0 5882 2278 13103 7681
p 2 0 2951 5209 5700 4110
p 2 0 3202 4958 5639 4273
p 2 0 2830 5330 5740 3877
p 2 0 3120 5040 6335 4224
p 2 2856 4343 961 160276 24261
p 2 2353 4929 878 150503 23918
p 2 2034 5171 955 140059 23608
p 2 1699 5583 878 118735 23068
p 2 1702 5510 948 97228 22369
p 2 2098 5152 910 66687 21646
p 2 4930 2229 1001 26028 20522
p 2 0 1755 6405 4029 3890
p 2 0 1337 6823 2966 2942
p 2 0 1190 6970 2649 2631
p 2 0 1193 6967 2408 2380
p 2 0 923 7237 2121 2110
p 2 0 815 7345 1998 1995
p 2 0 952 7208 1942 1937
p 2 0 872 7288 1865 1856
p 2 0 1065 7095 2016 1997
p 2 0 762 7398 1747 1741
p 2 0 667 7493 1673 1667
p 2 929 1939 5292 22030 6753
p 2 410 4254 3496 36371 8378
p 2 319 5777 2064 46266 10582
p 2 382 5663 2115 54050 11109
p 2 428 5769 1963 60234 12795
p 2 409 5971 1780 69229 13444
p 2 505 6679 976 82761 16337
p 2 661 6676 823 94229 17607
p 2 611 6864 685 105359 19099
p 2 652 6820 688 117455 19225
p 2 553 7074 533 129522 20049
p 2 562 7051 547 135184 19811
p 2 551 7166 443 169133 21069
p 2 25 7469 666 69430 13580
p 2 53 7884 223 96487 15698
p 2 41 7516 603 82359 13857
p 2 83 7570 507 103043 14782
p 2 72 7577 511 96499 14201
p 2 87 7658 415 118192 15398
p 2 97 7602 461 103987 14159
p 2 102 7618 440 126538 15205
p 2 85 7556 519 117576 14049
p 2 97 7584 479 145560 15168
p 2 47 7669 444 175702 14563
p 2 2 5826 2332 50235 8300
p 2 0 3327 4833 8880 4572
p 2 34 2614 5512 48073 4815
p 2 0 2638 5522 7503 3779
p 2 14 1941 6205 35933 3705
p 2 0 2066 6094 6124 3167
p 2 6 2260 5894 40242 4051
p 2 0 2446 5714 7242 3552
p 2 27 1499 6634 45168 3585
p 2 0 1824 6336 5785 2937
p 2 31 2233 5896 46922 4324
p 2 0 1828 6332 6340 2986
p 2 0 871 7289 2781 1942
p 2 0 814 7346 2870 1893
p 2 0 808 7352 3052 1898
p 2 24 1850 6286 42976 3790
p 2 0 908 7252 3529 2029
p 2 31 1576 6553 41169 3528
p 2 0 1428 6732 5001 2565
p 2 28 1631 6501 40513 3618
p 2 0 787 7373 3067 1938
p 2 37 1354 6769 41111 3370
p 2 0 1291 6869 4452 2417
p 2 0 2449 5711 8212 3657
p 2 0 1760 6400 6183 2953
p 2 0 916 7244 3386 2013
p 2 0 719 7441 3277 1830
p 2 0 564 7596 2664 1672
p 2 0 477 7683 2596 1586
p 2 0 708 7452 2458 1771
p 2 28 940 7192 40797 2931
p 2 0 903 7257 3361 2020
p 2 29 1269 6862 39294 3218
p 2 0 1412 6748 4616 2537
p 2 32 987 7141 37446 2923
p 2 0 1347 6813 4528 2474
p 2 26 1548 6586 42056 3481
p 2 0 1427 6733 6100 2603
p 2 0 984 7176 4761 2129
p 2 0 789 7371 4012 1910
p 2 0 422 7738 2922 1545
p 2 0 388 7772 2925 1512
p 2 0 393 7767 3483 1520
p 2 0 437 7723 3313 1569
p 2 0 399 7761 3380 1538
p 2 0 345 7815 3070 1491
p 2 0 411 7749 3536 1540
p 2 0 1430 6730 6088 2570
p 2 0 1400 6760 6116 2573
p 2 0 760 7400 4363 1884
p 2 0 775 7385 4493 1917
p 2 1 598 7561 3691 1750
p 2 0 586 7574 3989 1737
p 2 0 380 7780 2970 1514
p 2 0 291 7869 3003 1431
p 2 0 493 7667 3187 1621
p 2 2 430 7728 17548 1797
p 2 3 454 7703 3225 1617
p 2 10 526 7624 16364 1906
p 2 1 571 7588 2904 1739
p 2 0 476 7684 15436 1760
p 2 0 465 7695 2273 1581
p 2 3 484 7673 15166 1767
p 2 0 482 7678 2387 1578
p 2 1 244 7915 1740 1343
p 2 0 264 7896 1626 1343
p 2 1 219 7940 1914 1323
p 2 0 247 7913 1849 1346
p 2 0 161 7999 1394 1254
p 2 0 122 8038 1676 1225
p 2 0 129 8031 1379 1222
p 2 0 1047 7113 4080 2181
p 2 1 1031 7128 4341 2174
p 2 0 588 7572 2729 1694
p 2 0 552 7608 2768 1655
p 2 1 466 7693 2563 1568
p 2 0 256 7904 1541 1338
p 2 0 287 7873 1680 1368
p 2 1 308 7851 2097 1400
p 2 0 289 7871 1924 1392
p 2 0 296 7864 1830 1393
p 2 0 196 7964 1851 1303
p 2 0 181 7979 1522 1281
p 2 0 66 8094 1225 1167
p 2 1 71 8088 1528 1180
p 2 0 108 8052 1354 1209
p 2 0 103 8057 1460 1200
p 2 0 104 8056 1695 1206
p 2 0 97 8063 1412 1194
p 2 0 76 8084 1263 1173
p 2 1 96 8063 1421 1205
p 2 0 96 8064 1317 1194
p 2 0 98 8062 1406 1201
p 2 1 109 8050 1606 1216
p 2 0 82 8078 1323 1181
p 2 0 239 7921 1633 1339
p 2 1 215 7944 1974 1332
p 2 0 179 7981 1469 1276
p 2 0 205 7955 1572 1306
p 2 1 238 7921 1846 1350
p 2 0 242 7918 1710 1348
p 2 0 145 8015 1385 1245
p 2 1 86 8073 1533 1195
p 2 0 49 8111 1192 1150
p 2 0 58 8102 1238 1159
p 2 0 69 8091 1530 1171
p 2 0 42 8118 1163 1140
p 2 0 32 8128 1153 1131
p 2 1 50 8109 1476 1161
p 2 0 85 8075 1280 1181
p 2 0 100 8060 1371 1199
p 2 0 42 8118 1171 1142
p 2 0 14 8146 1143 1120
p 2 0 21 8139 1142 1123
p 2 0 16 8144 1135 1120
p 2 0 34 8126 1502 1141
p 2 0 14 8146 1135 1116
p 2 1 18 8141 1265 1128
p 2 0 21 8139 1159 1125
p 2 0 116 8044 1336 1216
p 2 0 61 8099 1216 1164
p 2 0 94 8066 1260 1188
p 2 0 90 8070 1299 1190
p 2 0 91 8069 1304 1192
p 2 0 121 8039 1427 1224
p 2 0 66 8094 1286 1166
p 2 0 78 8082 1354 1180
p 2 0 137 8023 1366 1230
p 2 0 68 8092 1231 1170
p 2 0 40 8120 1168 1141
p 2 0 58 8102 1209 1152
p 2 0 42 8118 1177 1145
p 2 0 25 8135 1140 1125
p 2 0 29 8131 1152 1129
p 2 0 22 8138 1135 1122
p 2 0 37 8123 1177 1138
p 2 0 37 8123 1201 1141
p 2 0 28 8132 1154 1130
p 2 7 577 7576 32495 2281
p 2 0 443 7717 2573 1568
p 2 1 1214 6945 36393 2833
p 2 0 819 7341 3426 1929
p 2 3 1089 7068 34497 2688
p 2 0 944 7216 3797 2051
p 2 0 463 7697 8318 1618
p 2 0 369 7791 2036 1463
p 2 0 304 7856 1810 1386
p 2 0 178 7982 1446 1270
p 2 0 99 8061 1231 1188
p 2 0 84 8076 1233 1178
p 2 0 117 8043 1284 1202
p 2 0 60 8100 1198 1157
p 2 0 38 8122 1169 1136
p 2 0 46 8114 1175 1143
p 2 0 39 8121 1164 1140
p 2 0 43 8117 1175 1142
p 2 0 72 8088 1193 1163
p 2 0 23 8137 1131 1123
p 2 0 20 8140 1131 1122
p 2 0 20 8140 1128 1120
p 2 0 12 8148 1116 1114
i 2 8160 0 0 104687 27833
p 2 805 2978 4377 22257 8158
p 2 722 3684 3754 26263 8885
p 2 1707 4717 1736 92784 16826
p 2 849 5946 1365 48090 13080
p 2 857 4911 2392 43321 12007
p 2 38 5070 3052 53996 9503
p 2 0 3818 4342 11049 5660
p 2 1344 3223 3593 43438 10981
p 2 1784 4542 1834 77435 16275
p 2 1239 6142 779 49607 15300
p 2 745 4736 2679 31364 10913
p 2 911 5462 1787 96220 15474
p 2 737 4532 2891 52072 13000
p 2 420 3101 4639 38263 9458
p 2 346 4841 2973 75198 12548
p 2 0 3439 4721 10778 5542
p 2 0 3008 5152 8999 4874
p 2 1495 5385 1280 98905 18004
p 2 656 3752 3752 44119 11252
p 2 256 2520 5384 16561 5957
p 2 886 4281 2993 60410 11984
p 2 415 4441 3304 28397 9346
p 2 493 5030 2637 39156 10897
p 2 731 6454 975 90309 16007
p 2 704 5276 2180 46799 13038
p 2 0 3371 4789 9813 5502
p 2 214 4993 2953 62507 10795
p 2 1329 3448 3383 44033 11801
p 2 1613 4617 1930 54306 14451
p 2 1065 6270 825 82283 16239
p 2 320 5148 2692 33858 10556
p 2 661 4296 3203 51074 11768
p 2 424 4554 3182 76335 13037
p 2 32 3708 4420 24582 7777
p 2 0 3032 5128 9044 4798
p 2 133 4841 3186 64134 10605
p 2 1211 5008 1941 68147 15436
p 2 673 3244 4243 42675 10609
p 2 542 4199 3419 72493 11281
p 2 772 3715 3673 24476 9187
p 2 410 4132 3618 26469 8812
p 2 586 5851 1723 72201 13680
p 2 473 6197 1490 49122 12738
p 2 675 5076 2409 43949 12059
p 2 162 4787 3211 53698 9913
p 2 0 3811 4349 10230 5726
p 2 1351 3147 3662 42511 11064
p 2 2016 4479 1665 96235 17492
p 2 986 5872 1302 45370 13758
p 2 338 4776 3046 33763 10000
p 2 930 5239 1991 96248 16217
p 2 391 3578 4191 37410 9846
p 2 31 3085 5044 22384 7014
p 2 55 4773 3332 52901 9163
p 2 0 3673 4487 10702 5714
p 2 1538 4452 2170 66346 15494
p 2 859 4438 2863 79219 14397
p 2 252 3207 4701 20290 7015
i 2 8160 0 0 354008 38502
p 2 6 2982 5172 20279 4722
p 2 14 2699 5447 25486 4642
