# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 59841 4532
p 2 0 200 720 440 334
p 2 0 135 785 312 264
p 2 0 55 865 199 190
p 2 0 55 865 202 187
p 2 0 22 898 176 159
p 2 0 16 904 156 150
p 2 0 4 916 143 141
p 2 0 1 919 138 138
p 2 0 1 919 138 138
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 4 916 145 142
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 138 138
p 2 0 1 919 138 138
p 2 0 53 867 310 188
p 2 588 332 0 46909 3854
p 2 585 335 0 42075 3932
p 2 554 366 0 33753 3786
p 2 0 510 410 1945 732
p 2 0 355 565 1496 536
p 2 0 287 633 1348 440
p 2 0 329 591 1585 488
p 2 0 287 633 1527 441
p 2 0 254 666 1513 415
p 2 0 249 671 1520 411
p 2 0 234 686 1290 390
p 2 0 227 693 1300 381
p 2 0 226 694 1298 381
p 2 0 219 701 1373 376
p 2 0 229 691 1285 384
p 2 0 225 695 1332 381
p 2 0 233 687 1366 390
p 2 0 228 692 1432 389
p 2 0 234 686 1506 395
p 2 0 235 685 1611 390
p 2 0 249 671 1715 417
p 2 0 247 673 1917 411
p 2 0 273 647 1837 433
p 2 0 235 685 1791 400
p 2 0 249 671 1777 412
p 2 0 275 645 1989 437
p 2 0 259 661 1665 411
p 2 0 241 679 1703 403
p 2 0 242 678 1648 397
p 2 0 278 642 1924 443
p 2 0 247 673 1587 398
p 2 0 247 673 1663 404
p 2 0 236 684 1572 386
p 2 0 249 671 1721 408
p 2 0 234 686 1436 387
p 2 0 221 699 1452 377
p 2 0 228 692 1476 379
p 2 0 225 695 1537 374
p 2 0 215 705 1454 371
p 2 0 215 705 1519 368
p 2 0 213 707 1497 366
p 2 0 221 699 1517 373
p 2 0 213 707 1321 361
p 2 0 207 713 1347 352
p 2 0 201 719 1309 349
p 2 0 204 716 1356 355
p 2 0 182 738 1092 321
p 2 0 178 742 1090 320
i 2 920 0 0 24132 3575
p 2 0 638 282 2172 852
p 2 0 702 218 2401 856
p 2 0 548 372 2642 791
p 2 0 539 381 2451 756
p 2 0 516 404 2449 750
p 2 0 498 422 2184 703
p 2 195 720 5 8513 2099
p 2 78 840 2 8565 1936
p 2 99 815 6 8763 2027
p 2 110 808 2 9621 2126
p 2 44 875 1 9304 1935
p 2 44 875 1 9519 1998
p 2 32 880 8 9443 1947
p 2 38 879 3 9735 1953
p 2 24 895 1 9531 1923
p 2 30 889 1 9893 1957
p 2 23 891 6 9558 1926
p 2 22 898 0 9878 1942
p 2 20 899 1 9774 1959
p 2 23 897 0 10122 1964
p 2 20 899 1 9919 1972
p 2 20 900 0 9867 1909
p 2 21 898 1 9975 1935
p 2 20 900 0 9837 1869
p 2 19 901 0 10288 1932
p 2 21 898 1 10442 1884
p 2 22 896 2 10299 1883
p 2 19 900 1 10813 1889
p 2 19 901 0 9773 1846
p 2 0 833 87 4012 1199
p 2 1 760 159 3619 1044
p 2 0 695 225 3504 965
p 2 0 692 228 3458 933
p 2 0 643 277 3303 924
p 2 0 579 341 2933 819
p 2 0 402 518 818 530
p 2 0 246 674 434 361
p 2 0 239 681 434 353
p 2 0 131 789 301 259
p 2 0 161 759 348 280
p 2 0 75 845 224 204
p 2 0 66 854 208 195
p 2 0 27 893 171 162
p 2 0 36 884 174 168
p 2 0 8 912 147 145
p 2 0 21 899 163 157
p 2 0 3 917 141 139
p 2 0 37 883 191 171
p 2 0 23 897 163 158
p 2 0 24 896 164 158
p 2 0 26 894 164 159
p 2 0 18 902 154 151
p 2 0 30 890 174 162
p 2 0 13 907 156 150
p 2 0 3 917 141 140
p 2 0 16 904 167 151
p 2 0 6 914 149 144
p 2 0 13 907 161 149
p 2 0 4 916 142 141
p 2 0 22 898 594 160
p 2 0 21 899 187 157
p 2 0 10 910 152 147
p 2 1 23 896 2546 186
p 2 0 16 904 202 154
p 2 0 11 909 159 146
p 2 5 38 877 5290 234
p 2 0 32 888 254 169
p 2 0 13 907 165 149
p 2 8 48 864 7552 286
p 2 0 41 879 294 178
p 2 0 21 899 184 156
p 2 15 61 844 9490 370
p 2 0 49 871 317 187
p 2 0 22 898 191 158
p 2 20 66 834 11994 435
p 2 0 57 863 347 197
p 2 0 27 893 205 163
p 2 26 74 820 14363 476
p 2 0 61 859 408 205
p 2 0 25 895 209 161
