# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 90289 4564
p 2 0 558 362 1533 662
p 2 0 657 263 3163 794
p 2 0 570 350 3733 738
p 2 0 600 320 5075 808
p 2 0 542 378 6174 804
p 2 0 472 448 3391 668
p 2 0 538 382 5901 806
p 2 0 525 395 6367 828
p 2 0 516 404 6694 827
p 2 0 473 447 4293 721
p 2 0 513 407 6295 827
p 2 0 535 385 7009 860
p 2 0 511 409 6059 821
p 2 0 513 407 6738 839
p 2 0 516 404 6642 842
p 2 0 513 407 7664 856
p 2 0 534 386 7214 859
p 2 0 518 402 8260 857
p 2 0 522 398 8792 870
p 2 0 523 397 7774 856
p 2 0 518 402 9026 857
p 2 0 524 396 8151 850
p 2 0 525 395 8887 858
p 2 0 522 398 9175 865
p 2 0 497 423 4847 755
p 2 0 518 402 7404 850
p 2 0 527 393 8235 869
p 2 0 521 399 7061 843
p 2 0 436 484 3202 647
p 2 0 508 412 5338 796
p 2 0 515 405 5973 810
p 2 0 512 408 5681 800
p 2 0 426 494 2999 626
p 2 0 496 424 4798 763
p 2 0 507 413 5485 795
p 2 0 505 415 5255 781
p 2 0 451 469 3415 663
p 2 0 505 415 4704 780
p 2 0 522 398 5367 798
p 2 0 506 414 5749 803
p 2 0 465 455 3387 687
p 2 0 506 414 4955 787
p 2 0 508 412 5936 815
p 2 0 512 408 5850 814
p 2 0 484 436 4273 739
p 2 0 508 412 5434 797
p 2 0 513 407 6145 814
p 2 0 516 404 6714 837
p 2 0 464 456 4193 714
p 2 0 505 415 6994 824
p 2 0 517 403 6716 836
p 2 0 486 434 4690 752
p 2 0 511 409 6283 829
p 2 0 520 400 7018 843
p 2 0 518 402 7184 847
p 2 0 489 431 4753 745
p 2 0 516 404 6314 830
p 2 0 516 404 7073 835
p 2 0 518 402 7410 835
p 2 0 484 436 4356 724
p 2 0 513 407 6480 806
p 2 0 516 404 7082 823
p 2 0 514 406 7026 808
p 2 0 460 460 4059 684
p 2 0 512 408 6090 790
p 2 0 516 404 6782 815
p 2 0 512 408 6900 810
p 2 0 458 462 3764 682
p 2 0 510 410 5989 801
p 2 0 508 412 6683 816
p 2 0 515 405 6658 822
p 2 0 467 453 3949 701
p 2 0 510 410 5952 813
p 2 0 513 407 6853 837
p 2 0 517 403 6249 822
p 2 0 519 401 6934 836
p 2 0 513 407 6823 825
p 2 0 520 400 8180 851
p 2 0 517 403 7257 827
p 2 0 519 401 8471 838
p 2 0 514 406 7888 828
p 2 0 516 404 8699 850
p 2 0 519 401 7566 831
p 2 0 516 404 8323 846
p 2 0 513 407 6944 824
p 2 0 516 404 7865 839
p 2 0 511 409 7129 821
p 2 0 461 459 3577 673
p 2 0 507 413 5388 787
p 2 0 513 407 6283 805
p 2 0 496 424 4423 735
p 2 0 494 426 4724 725
p 2 0 454 466 3510 649
p 2 0 428 492 3582 618
i 2 920 0 0 56765 4008
p 2 0 261 659 517 387
p 2 0 158 762 288 271
p 2 3 185 732 7600 464
p 2 0 133 787 525 270
p 2 0 67 853 236 197
p 2 2 152 766 7511 413
p 2 0 115 805 517 261
p 2 0 64 856 245 195
p 2 2 128 790 7884 394
p 2 0 121 799 521 257
p 2 0 42 878 220 176
p 2 8 126 786 9091 444
p 2 0 109 811 555 252
p 2 0 41 879 224 176
p 2 2 120 798 8488 402
p 2 0 104 816 580 253
p 2 0 53 867 278 189
p 2 9 151 760 9082 456
p 2 0 98 822 506 244
p 2 0 72 848 2111 213
p 2 8 127 785 8896 445
p 2 0 117 803 2264 273
p 2 0 53 867 285 189
p 2 1 135 784 7347 408
p 2 0 109 811 575 258
p 2 0 55 865 270 189
p 2 9 120 791 9696 462
p 2 0 92 828 512 239
p 2 0 32 888 212 169
p 2 7 125 788 8742 436
p 2 0 105 815 519 250
p 2 6 101 813 8914 345
p 2 4 172 744 7295 468
p 2 0 181 739 8238 393
p 2 0 96 824 476 238
p 2 5 187 728 13065 500
p 2 0 145 775 759 297
p 2 0 123 797 6062 307
p 2 3 165 752 6168 426
p 2 0 98 822 599 244
p 2 0 37 883 227 172
p 2 1 94 825 5102 335
p 2 0 85 835 442 229
p 2 0 41 879 317 178
p 2 1 74 845 3976 296
p 2 0 63 857 422 205
p 2 0 33 887 239 168
p 2 5 98 817 3379 333
p 2 0 69 851 318 206
p 2 0 38 882 208 173
p 2 2 53 865 1796 242
p 2 0 60 860 328 202
p 2 0 24 896 190 161
p 2 1 41 878 1317 210
p 2 0 30 890 221 168
p 2 0 13 907 168 150
p 2 7 38 875 2402 236
p 2 0 27 893 213 164
p 2 0 12 908 155 146
p 2 9 58 853 5725 323
p 2 0 39 881 245 176
p 2 0 16 904 170 151
p 2 9 75 836 9869 387
p 2 0 62 858 449 202
p 2 0 20 900 200 156
p 2 6 109 805 14703 427
p 2 0 81 839 469 226
p 2 0 38 882 330 176
p 2 18 109 793 16959 519
p 2 0 110 810 1933 267
p 2 0 48 872 292 184
p 2 15 149 756 21908 577
p 2 0 132 788 700 284
p 2 0 57 863 1035 193
p 2 31 151 738 25167 715
p 2 0 128 792 666 275
p 2 0 50 870 276 185
p 2 29 171 720 28738 772
p 2 0 150 770 801 305
p 2 0 57 863 287 194
p 2 33 199 688 32332 830
p 2 0 165 755 876 322
p 2 0 61 859 286 195
p 2 20 230 670 34769 775
p 2 0 209 711 996 363
p 2 0 68 852 303 202
p 2 37 250 633 35132 921
p 2 0 196 724 1005 354
p 2 0 101 819 394 232
p 2 35 254 631 36872 973
p 2 0 217 703 1007 374
p 2 0 96 824 351 223
p 2 31 262 627 36123 949
p 2 0 228 692 1151 400
i 2 920 0 0 64130 4684
p 2 7 427 486 26944 959
p 2 0 317 603 1200 470
p 2 0 308 612 22765 717
p 2 0 263 657 1191 426
p 2 0 277 643 20571 650
p 2 0 234 686 1062 393
p 2 8 127 785 6388 384
p 2 0 89 831 425 227
p 2 0 75 845 4759 257
p 2 0 57 863 352 196
p 2 3 81 836 6544 313
p 2 0 59 861 353 199
p 2 0 26 894 200 162
p 2 0 23 897 188 159
p 2 13 57 850 5614 331
p 2 0 44 876 330 187
p 2 11 61 848 6818 331
p 2 0 67 853 2564 225
p 2 1 62 857 2817 225
p 2 1 77 842 7135 297
p 2 1 78 841 3777 255
p 2 2 68 850 4036 254
p 2 1 96 823 7342 309
p 2 1 94 825 4111 278
p 2 1 93 826 3873 270
p 2 0 111 809 6938 323
p 2 1 106 813 3347 286
p 2 0 98 822 2638 267
i 2 920 0 0 61417 4800
p 2 0 220 700 462 348
p 2 0 137 783 284 263
p 2 4 165 751 9907 447
p 2 0 153 767 535 287
p 2 0 39 881 218 174
p 2 7 158 755 10680 441
p 2 0 103 817 552 248
p 2 0 40 880 241 177
p 2 14 122 784 13236 481
p 2 0 115 805 3839 280
p 2 0 78 842 3870 245
p 2 0 136 784 12179 398
p 2 0 127 793 4632 307
p 2 0 102 818 4631 279
p 2 0 149 771 12034 411
p 2 0 135 785 5203 318
p 2 1 107 812 4930 291
p 2 1 142 777 12745 401
p 2 0 125 795 5086 302
p 2 1 109 810 4635 287
p 2 0 144 776 12817 400
p 2 0 128 792 3875 303
i 2 920 0 0 59424 4375
p 2 0 182 738 417 306
p 2 0 141 779 305 261
p 2 0 76 844 251 203
p 2 0 67 853 207 198
p 2 0 46 874 174 174
p 2 0 49 871 205 181
p 2 0 28 892 170 162
p 2 0 30 890 169 163
p 2 0 19 901 190 154
p 2 0 26 894 163 160
p 2 0 17 903 154 152
p 2 0 19 901 189 154
p 2 0 15 905 152 151
p 2 0 15 905 151 150
p 2 0 10 910 162 147
p 2 0 7 913 144 144
p 2 0 4 916 141 141
p 2 0 2 918 152 140
p 2 0 2 918 140 139
p 2 0 0 920 137 137
p 2 0 3 917 176 141
p 2 0 0 920 137 137
p 2 0 1 919 138 138
p 2 0 2 918 172 140
p 2 0 3 917 141 139
p 2 0 1 919 139 139
p 2 0 2 918 154 140
p 2 0 1 919 143 138
p 2 0 1 919 138 138
p 2 0 1 919 152 139
p 2 0 1 919 138 138
p 2 0 1 919 140 138
p 2 0 2 918 140 139
p 2 0 0 920 137 137
p 2 0 3 917 140 139
p 2 1 30 889 4363 207
p 2 0 25 895 260 167
p 2 0 9 911 173 146
p 2 2 59 859 6777 269
p 2 0 46 874 415 191
p 2 0 20 900 193 155
p 2 0 58 862 6339 250
p 2 0 49 871 379 193
p 2 0 26 894 206 162
p 2 0 59 861 6005 248
p 2 0 47 873 362 189
p 2 0 15 905 189 152
p 2 0 12 908 165 148
p 2 0 7 913 146 143
p 2 0 6 914 147 142
p 2 0 6 914 170 143
p 2 0 3 917 141 139
p 2 0 12 908 168 148
p 2 0 8 912 173 143
p 2 0 4 916 145 141
p 2 0 9 911 150 143
p 2 0 2 918 154 139
p 2 0 9 911 152 145
p 2 0 5 915 142 141
p 2 0 8 912 158 143
p 2 0 10 910 156 145
p 2 0 1 919 139 138
p 2 0 6 914 175 141
p 2 0 2 918 142 140
p 2 0 6 914 145 142
p 2 0 7 913 175 142
p 2 0 5 915 148 143
p 2 0 2 918 142 140
p 2 0 6 914 162 144
p 2 0 1 919 140 139
p 2 0 2 918 138 138
p 2 0 1 919 151 138
p 2 0 1 919 140 138
p 2 0 1 919 140 138
p 2 0 1 919 169 138
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 169 138
p 2 0 1 919 141 139
p 2 0 1 919 139 138
p 2 0 1 919 154 139
p 2 0 1 919 141 138
p 2 0 0 920 137 137
p 2 0 1 919 151 139
p 2 0 1 919 141 139
p 2 0 0 920 137 137
p 2 0 1 919 152 139
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 168 138
p 2 0 0 920 137 137
p 2 0 1 919 140 139
p 2 0 1 919 164 139
p 2 0 0 920 137 137
p 2 0 1 919 139 138
p 2 0 1 919 160 139
p 2 0 2 918 142 139
p 2 0 1 919 138 138
p 2 0 1 919 152 138
p 2 0 1 919 138 138
p 2 0 0 920 137 137
p 2 0 1 919 153 138
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 171 138
p 2 0 1 919 139 138
p 2 0 1 919 141 138
p 2 0 1 919 170 139
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 151 138
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 151 139
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 171 139
p 2 0 1 919 140 139
p 2 0 0 920 137 137
p 2 0 1 919 170 139
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 154 138
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 152 138
p 2 0 1 919 139 138
p 2 0 1 919 139 138
p 2 0 1 919 154 139
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 169 139
p 2 0 1 919 142 138
p 2 0 0 920 137 137
p 2 0 1 919 162 139
p 2 0 2 918 140 139
p 2 0 0 920 137 137
p 2 0 1 919 161 139
p 2 0 1 919 142 138
p 2 0 0 920 137 137
p 2 0 1 919 154 139
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 153 139
p 2 0 1 919 139 138
p 2 0 0 920 137 137
p 2 0 1 919 172 139
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 172 139
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 155 138
p 2 0 1 919 140 139
p 2 0 0 920 137 137
p 2 0 1 919 152 138
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 172 139
p 2 0 0 920 137 137
p 2 0 1 919 141 139
p 2 0 1 919 171 139
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 172 139
p 2 0 1 919 140 139
p 2 0 0 920 137 137
p 2 0 1 919 172 139
p 2 0 1 919 140 138
p 2 0 0 920 137 137
p 2 0 1 919 151 138
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 151 139
p 2 0 0 920 137 137
