# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 48507 4408
p 2 11 909 0 12469 1608
p 2 8 902 10 14045 1621
p 2 10 903 7 12832 1554
p 2 1 912 7 14683 1586
p 2 1 916 3 13952 1596
p 2 0 909 11 14313 1601
p 2 2 913 5 13740 1616
p 2 2 913 5 14301 1634
p 2 0 915 5 14028 1624
p 2 0 915 5 14036 1601
p 2 0 916 4 14146 1611
p 2 1 917 2 14429 1615
p 2 0 918 2 14291 1621
p 2 11 906 3 14886 1674
p 2 8 912 0 14744 1665
p 2 13 905 2 15660 1693
p 2 10 909 1 15885 1690
p 2 4 916 0 15778 1656
p 2 4 915 1 15081 1637
p 2 2 918 0 15961 1668
p 2 2 918 0 14488 1632
p 2 0 919 1 15377 1646
p 2 0 920 0 14307 1607
p 2 0 920 0 15436 1638
p 2 0 920 0 14576 1611
p 2 1 919 0 14850 1617
p 2 0 920 0 14750 1604
p 2 0 920 0 15330 1653
p 2 10 910 0 13724 1614
p 2 8 912 0 15398 1653
p 2 13 907 0 14507 1663
p 2 2 917 1 16086 1662
p 2 13 907 0 14357 1634
p 2 10 910 0 15466 1655
p 2 0 920 0 14191 1608
p 2 0 920 0 15179 1636
p 2 0 920 0 13493 1581
p 2 0 920 0 15338 1640
p 2 0 920 0 13272 1592
p 2 0 920 0 15310 1651
p 2 0 920 0 12589 1558
p 2 0 920 0 15006 1616
p 2 0 919 1 13291 1566
p 2 0 920 0 14854 1621
p 2 1 919 0 12253 1563
p 2 5 915 0 14691 1631
p 2 1 919 0 12705 1575
p 2 14 906 0 14765 1677
p 2 11 909 0 12809 1586
p 2 14 906 0 14633 1630
p 2 8 912 0 13434 1591
p 2 0 920 0 14682 1621
p 2 0 919 1 11932 1536
p 2 0 919 1 13780 1591
p 2 0 918 2 11777 1537
p 2 0 918 2 13199 1573
p 2 0 918 2 11031 1497
p 2 0 919 1 13325 1586
p 2 0 916 4 11227 1502
p 2 0 919 1 12962 1584
p 2 0 920 0 11003 1513
p 2 6 912 2 13161 1597
p 2 2 914 4 11116 1507
p 2 5 912 3 12615 1592
p 2 4 912 4 10670 1501
p 2 9 911 0 12466 1598
p 2 8 912 0 10728 1529
p 2 5 914 1 12325 1576
p 2 9 910 1 10851 1525
p 2 1 918 1 12305 1560
p 2 0 920 0 10645 1495
p 2 0 919 1 11906 1565
p 2 0 918 2 10237 1520
p 2 0 917 3 10982 1534
p 2 0 915 5 9948 1461
p 2 0 915 5 10619 1515
p 2 0 919 1 9446 1459
p 2 0 919 1 10106 1508
p 2 3 917 0 9410 1500
p 2 7 912 1 10265 1530
p 2 0 919 1 9273 1461
p 2 1 917 2 10126 1499
p 2 5 914 1 9075 1470
p 2 2 917 1 10125 1501
p 2 5 915 0 8873 1469
p 2 5 915 0 9937 1519
p 2 7 913 0 8941 1480
p 2 6 913 1 9561 1504
p 2 4 915 1 8774 1469
p 2 4 916 0 9407 1481
p 2 0 919 1 8803 1460
p 2 0 920 0 9145 1485
p 2 0 920 0 8018 1434
p 2 0 920 0 9050 1496
p 2 0 920 0 8292 1452
p 2 0 919 1 8593 1469
p 2 1 919 0 8128 1444
p 2 0 919 1 8520 1448
p 2 7 913 0 8365 1474
p 2 0 919 1 8183 1450
p 2 2 918 0 7987 1441
p 2 2 917 1 8168 1448
p 2 0 918 2 7851 1414
p 2 2 918 0 7566 1446
p 2 2 915 3 7333 1409
p 2 2 917 1 7798 1438
p 2 4 915 1 7486 1447
p 2 4 914 2 7808 1461
p 2 5 914 1 7842 1456
p 2 6 913 1 8028 1450
p 2 3 916 1 7719 1430
p 2 1 918 1 7679 1415
p 2 2 913 5 7287 1389
p 2 0 920 0 7440 1391
p 2 1 916 3 7166 1424
p 2 0 920 0 7236 1416
p 2 0 920 0 7072 1399
p 2 1 918 1 6859 1373
p 2 6 913 1 6993 1411
p 2 2 918 0 7175 1370
p 2 0 920 0 7149 1404
p 2 0 917 3 7104 1364
p 2 1 919 0 7248 1402
p 2 0 920 0 7458 1367
p 2 1 919 0 7060 1380
p 2 3 916 1 6862 1384
p 2 2 914 4 6547 1376
p 2 1 918 1 6958 1389
p 2 0 920 0 6602 1374
p 2 0 920 0 6920 1398
p 2 2 918 0 6679 1376
p 2 5 914 1 7100 1414
p 2 5 912 3 6661 1376
p 2 4 916 0 6762 1384
p 2 3 916 1 6560 1365
p 2 3 916 1 6879 1394
p 2 0 916 4 6518 1374
p 2 1 919 0 6388 1370
p 2 1 914 5 6805 1397
p 2 1 919 0 6766 1392
p 2 4 913 3 6894 1403
