# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 10976 3680
p 2 0 890 30 2660 1345
p 2 0 898 22 3319 1399
p 2 5 895 20 4606 1671
p 2 0 902 18 3836 1562
p 2 0 794 126 1509 1088
p 2 2 902 16 3628 1476
p 2 4 896 20 4709 1667
p 2 1 902 17 3415 1478
p 2 0 900 20 3368 1449
p 2 0 778 142 1458 1044
p 2 0 912 8 4667 1627
p 2 0 907 13 3822 1536
p 2 0 899 21 3323 1453
p 2 0 912 8 4067 1514
p 2 0 902 18 3755 1486
p 2 0 901 19 3886 1457
p 2 0 904 16 3847 1503
p 2 0 898 22 3884 1467
p 2 0 911 9 4249 1503
p 2 1 904 15 4308 1504
p 2 2 898 20 4413 1522
p 2 2 898 20 5192 1616
p 2 4 910 6 5436 1792
p 2 0 870 50 2356 1245
p 2 0 894 26 3695 1405
p 2 0 904 16 4831 1468
p 2 4 911 5 6524 1727
p 2 0 903 17 5640 1586
p 2 0 819 101 3647 1118
p 2 0 898 22 5935 1512
p 2 5 909 6 6819 1774
p 2 0 910 10 5123 1575
p 2 0 913 7 5037 1538
p 2 0 824 96 2991 1093
p 2 2 912 6 5905 1704
p 2 0 902 18 5028 1553
p 2 0 898 22 4753 1487
p 2 0 912 8 5385 1561
p 2 0 906 14 5023 1490
p 2 0 903 17 4982 1473
p 2 0 904 16 5024 1466
p 2 0 898 22 5050 1466
p 2 0 911 9 5310 1508
p 2 0 904 16 5080 1449
p 2 0 898 22 4974 1419
p 2 0 905 15 5198 1477
p 2 1 914 5 6271 1681
p 2 0 843 77 3160 1141
p 2 0 897 23 4655 1347
p 2 0 906 14 5014 1445
p 2 4 913 3 6294 1756
p 2 0 906 14 4939 1568
p 2 0 808 112 3094 1091
p 2 0 902 18 4899 1432
p 2 0 914 6 6177 1707
p 2 0 913 7 5032 1522
p 2 0 907 13 4764 1464
p 2 0 789 131 2939 1086
p 2 3 910 7 5856 1645
p 2 1 906 13 4725 1530
p 2 0 906 14 4413 1480
p 2 0 909 11 4562 1441
p 2 0 904 16 4645 1457
p 2 1 897 22 4625 1443
p 2 0 905 15 4791 1459
p 2 1 897 22 4549 1432
p 2 0 905 15 4744 1452
p 2 0 903 17 4589 1440
p 2 3 896 21 4670 1416
p 2 6 904 10 4923 1497
p 2 17 898 5 5950 1709
p 2 0 876 44 3215 1145
p 2 8 892 20 4450 1347
p 2 1 906 13 4776 1398
p 2 1 916 3 5810 1655
p 2 0 916 4 4742 1501
p 2 0 839 81 3082 1116
p 2 2 908 10 4862 1450
p 2 4 912 4 5975 1694
p 2 0 915 5 4778 1518
p 2 0 901 19 4552 1417
p 2 0 840 80 2967 1110
p 2 1 919 0 6024 1675
p 2 0 916 4 4821 1530
p 2 0 911 9 4048 1460
p 2 0 917 3 4055 1479
p 2 0 909 11 3832 1475
p 2 0 917 3 3603 1466
p 2 0 910 10 3806 1506
p 2 0 912 8 3439 1467
p 2 0 911 9 3743 1508
p 2 1 913 6 3496 1486
p 2 0 911 9 3326 1462
p 2 2 915 3 4464 1732
p 2 5 910 5 5094 1831
p 2 0 887 33 1655 1194
p 2 0 897 23 3315 1452
p 2 1 908 11 3596 1540
p 2 19 897 4 4976 1861
p 2 2 908 10 3751 1607
p 2 0 807 113 1472 1112
p 2 0 902 18 3582 1516
p 2 2 911 7 5240 1853
p 2 0 908 12 3731 1591
p 2 4 898 18 3848 1600
p 2 0 822 98 1463 1098
p 2 14 900 6 4958 1817
p 2 4 898 18 3721 1631
p 2 1 901 18 3560 1534
p 2 1 909 10 3706 1549
p 2 0 900 20 3634 1518
p 2 1 901 18 3749 1541
p 2 2 905 13 3599 1531
p 2 0 893 27 3788 1514
p 2 0 910 10 3730 1519
p 2 0 897 23 3717 1543
p 2 1 898 21 3562 1518
p 2 2 904 14 3828 1547
p 2 8 907 5 4573 1760
p 2 0 861 59 1486 1119
p 2 0 890 30 2902 1350
p 2 0 885 35 3287 1393
p 2 2 904 14 4104 1635
p 2 0 905 15 3193 1480
p 2 0 838 82 1463 1096
p 2 0 897 23 3019 1342
p 2 0 909 11 4072 1628
p 2 0 904 16 3130 1439
p 2 0 900 20 3229 1437
p 2 0 836 84 1862 1097
p 2 0 902 18 4736 1640
p 2 0 897 23 4225 1546
p 2 1 898 21 4460 1517
p 2 0 897 23 5023 1508
p 2 0 888 32 4646 1426
p 2 0 895 25 4317 1400
p 2 0 887 33 4231 1431
p 2 0 898 22 4211 1410
p 2 2 899 19 5355 1667
p 2 0 882 38 2738 1165
p 2 0 878 42 3904 1347
p 2 0 902 18 4652 1506
p 2 0 908 12 5452 1669
p 2 0 893 27 4369 1485
p 2 0 814 106 2735 1093
p 2 0 897 23 4466 1457
p 2 6 908 6 5755 1751
p 2 1 906 13 4570 1588
p 2 2 875 43 4443 1483
p 2 0 869 51 2812 1158
p 2 8 887 25 5540 1720
p 2 0 912 8 4444 1545
p 2 0 893 27 4456 1497
p 2 0 898 22 4319 1468
p 2 0 896 24 4454 1459
p 2 0 891 29 4344 1441
p 2 1 885 34 4262 1440
p 2 2 899 19 4438 1484
p 2 0 881 39 4262 1419
p 2 1 893 26 4317 1473
p 2 1 888 31 4555 1483
p 2 2 900 18 4080 1432
p 2 24 883 13 5838 1726
p 2 0 868 52 2777 1163
p 2 0 858 62 4065 1316
p 2 0 907 13 4418 1426
p 2 1 900 19 5307 1580
p 2 0 894 26 3960 1458
p 2 0 781 139 2728 1073
p 2 0 892 28 3836 1340
p 2 10 889 21 5891 1693
p 2 1 896 23 4554 1542
p 2 1 865 54 4735 1475
p 2 0 842 78 2823 1127
p 2 12 868 40 5993 1709
p 2 0 886 34 4864 1580
p 2 1 858 61 5042 1503
p 2 1 860 59 4677 1484
p 2 1 858 61 5088 1476
p 2 191 729 0 11376 2824
i 2 920 0 0 9339 3326
p 2 44 837 39 5411 1731
p 2 29 879 12 6204 1801
p 2 26 868 26 6733 1914
p 2 20 874 26 6889 1967
p 2 21 863 36 6377 1858
p 2 18 864 38 6588 1913
p 2 24 833 63 5964 1781
p 2 11 879 30 6043 1748
p 2 6 870 44 6342 1779
p 2 12 887 21 6325 1808
p 2 13 844 63 6039 1706
p 2 7 885 28 5540 1706
p 2 14 841 65 6047 1703
p 2 18 894 8 7949 1973
p 2 15 865 40 6238 1760
p 2 24 881 15 5927 1765
p 2 14 853 53 5902 1696
p 2 19 885 16 6040 1716
p 2 17 843 60 5881 1697
p 2 10 894 16 5807 1704
p 2 7 858 55 5454 1570
p 2 25 872 23 5841 1697
p 2 17 841 62 5572 1538
p 2 13 882 25 5469 1627
p 2 16 842 62 5754 1595
p 2 36 848 36 6323 1794
p 2 36 862 22 6483 1895
p 2 3 901 16 6280 1842
p 2 6 901 13 5841 1828
p 2 11 895 14 6193 1823
p 2 11 903 6 5567 1837
p 2 7 889 24 5565 1773
p 2 5 905 10 5820 1883
p 2 6 902 12 5696 1870
p 2 2 911 7 5143 1815
p 2 3 902 15 5186 1781
p 2 2 893 25 4884 1792
p 2 3 905 12 5658 1808
p 2 1 918 1 4738 1821
p 2 5 903 12 5071 1747
p 2 1 919 0 5105 1849
p 2 5 903 12 5010 1814
p 2 6 911 3 4996 1861
p 2 92 800 28 5556 1938
p 2 0 818 102 1138 1091
p 2 0 671 249 811 793
p 2 0 562 358 677 669
p 2 0 588 332 705 668
p 2 0 304 616 460 451
p 2 0 371 549 511 500
p 2 0 138 782 308 306
p 2 0 178 742 345 340
p 2 0 66 854 249 249
p 2 0 101 819 279 276
p 2 0 38 882 225 225
p 2 0 30 890 220 220
p 2 0 20 900 210 210
p 2 0 18 902 209 209
p 2 0 15 905 208 208
p 2 0 17 903 209 209
p 2 0 1 919 198 198
i 2 920 0 0 2668 2668
i 2 920 0 0 2668 2668
i 2 920 0 0 2668 2668
i 2 920 0 0 2668 2668
i 2 920 0 0 2668 2668
i 2 920 0 0 2652 2652
i 2 920 0 0 2652 2652
i 2 920 0 0 2652 2652
i 2 920 0 0 2652 2652
i 2 920 0 0 2652 2652
i 2 920 0 0 2672 2668
i 2 920 0 0 2694 2668
i 2 920 0 0 2668 2668
i 2 920 0 0 2668 2668
i 2 920 0 0 2668 2668
i 2 920 0 0 2670 2668
p 2 0 6 914 201 201
i 2 920 0 0 46288 4189
p 2 0 589 331 3895 836
p 2 0 632 288 6127 899
p 2 0 718 202 6539 1026
p 2 0 757 163 10130 1162
p 2 0 690 230 6752 995
p 2 10 762 148 13761 1459
p 2 8 735 177 14687 1283
p 2 1 831 88 19162 1437
p 2 0 793 127 16155 1300
p 2 0 754 166 17101 1238
p 2 0 825 95 17895 1364
p 2 0 821 99 20561 1382
p 2 0 784 136 16968 1254
p 2 0 788 132 18200 1276
p 2 0 897 23 19317 1511
p 2 0 848 72 20458 1414
p 2 0 799 121 17204 1280
p 2 0 790 130 8369 1192
p 2 0 836 84 8093 1252
p 2 0 806 114 9842 1249
p 2 0 847 73 8283 1287
p 2 0 759 161 7288 1139
p 2 0 681 239 6659 1026
p 2 0 771 149 9860 1222
p 2 0 699 221 6244 1023
p 2 0 733 187 7391 1096
p 2 0 788 132 7682 1182
p 2 0 730 190 9291 1146
p 2 0 676 244 6170 1002
p 2 0 795 125 8118 1218
p 2 0 738 182 6980 1093
p 2 0 809 111 10082 1278
p 2 0 752 168 6669 1119
p 2 0 648 272 6637 970
p 2 0 748 172 7414 1148
p 2 0 750 170 9722 1183
p 2 0 725 195 6487 1059
p 2 0 729 191 7399 1091
p 2 0 652 268 6450 986
p 2 0 787 133 10183 1242
p 2 0 723 197 6518 1088
p 2 0 666 254 6748 991
p 2 0 769 151 7485 1173
p 2 0 751 169 9344 1158
p 2 0 786 134 6995 1158
