# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 43259 4142
p 2 0 448 472 789 581
p 2 0 378 542 665 488
p 2 0 227 693 687 372
p 2 0 341 579 788 460
p 2 0 156 764 538 300
p 2 0 252 668 688 381
p 2 0 231 689 741 364
p 2 0 246 674 771 384
p 2 0 217 703 697 345
p 2 0 203 717 780 349
p 2 0 194 726 828 354
p 2 0 286 634 888 419
p 2 0 223 697 782 368
p 2 0 274 646 879 405
p 2 0 229 691 876 378
p 2 0 271 649 925 416
p 2 0 173 747 765 332
p 2 0 236 684 792 382
p 2 0 193 727 927 356
p 2 0 302 618 926 434
p 2 0 212 708 823 354
p 2 0 212 708 820 371
p 2 0 223 697 899 375
p 2 0 281 639 996 437
p 2 0 171 749 816 336
p 2 0 142 778 549 293
p 2 0 202 718 979 363
p 2 0 275 645 968 424
p 2 0 194 726 881 360
p 2 0 168 752 773 335
p 2 0 185 735 838 347
p 2 0 235 685 932 389
p 2 0 175 745 823 338
p 2 0 166 754 713 331
p 2 0 202 718 789 357
p 2 0 237 683 905 392
p 2 0 251 669 813 390
p 2 0 197 723 616 334
p 2 0 196 724 783 348
p 2 0 193 727 785 352
p 2 0 226 694 857 370
p 2 0 143 777 569 297
p 2 0 172 748 764 324
p 2 0 238 682 758 379
p 2 0 196 724 898 358
p 2 0 153 767 559 305
p 2 0 167 753 783 329
p 2 0 193 727 748 346
p 2 0 205 715 763 353
p 2 0 157 763 652 310
p 2 0 198 722 703 344
p 2 0 192 728 820 346
p 2 0 175 745 741 332
p 2 0 185 735 695 332
p 2 0 166 754 712 319
p 2 0 217 703 852 357
p 2 0 188 732 798 352
p 2 0 186 734 627 317
p 2 0 172 748 785 326
p 2 0 207 713 846 353
p 2 0 274 646 969 408
p 2 0 138 782 577 282
p 2 0 190 730 861 346
p 2 0 209 711 737 341
p 2 0 179 741 831 337
p 2 0 219 701 706 342
p 2 0 129 791 653 288
p 2 0 186 734 811 330
p 2 0 146 774 675 299
p 2 0 152 768 747 303
i 2 920 0 0 128840 5318
p 2 0 920 0 41763 1371
p 2 0 920 0 47606 1389
p 2 0 920 0 50751 1391
p 2 0 920 0 48229 1379
p 2 0 920 0 50226 1395
p 2 0 920 0 49159 1397
p 2 0 920 0 48920 1398
p 2 0 920 0 48535 1373
p 2 0 920 0 48625 1395
p 2 0 920 0 48099 1395
p 2 0 919 1 48148 1390
p 2 0 920 0 48280 1389
p 2 0 920 0 48116 1385
p 2 0 920 0 47417 1385
p 2 0 920 0 47392 1381
p 2 1 919 0 47169 1388
p 2 0 920 0 47162 1383
p 2 0 920 0 46719 1380
p 2 0 920 0 46612 1369
p 2 0 920 0 46469 1374
p 2 0 920 0 46302 1380
p 2 0 920 0 45352 1379
p 2 0 920 0 45734 1373
p 2 0 920 0 45267 1375
p 2 1 919 0 45918 1388
p 2 0 920 0 44357 1377
p 2 0 920 0 44942 1374
p 2 0 920 0 44586 1377
p 2 0 920 0 44504 1361
p 2 0 920 0 43602 1360
p 2 0 920 0 43923 1368
p 2 0 920 0 43671 1375
p 2 0 920 0 43198 1371
p 2 0 920 0 42767 1353
p 2 0 920 0 42799 1358
p 2 1 919 0 42584 1359
p 2 0 920 0 42686 1364
p 2 0 920 0 42056 1349
p 2 0 920 0 42088 1356
p 2 0 920 0 41891 1362
p 2 0 920 0 42086 1360
p 2 0 920 0 41127 1356
p 2 0 920 0 41376 1357
p 2 0 920 0 41034 1352
p 2 0 920 0 41230 1358
p 2 0 920 0 40578 1356
p 2 0 920 0 40860 1339
p 2 0 920 0 40168 1344
p 2 1 919 0 40383 1361
p 2 1 919 0 40650 1354
p 2 0 920 0 38441 1347
p 2 0 920 0 40046 1339
p 2 0 920 0 38867 1336
p 2 0 920 0 38916 1345
p 2 0 920 0 38799 1336
p 2 0 920 0 38459 1340
p 2 0 920 0 38515 1333
p 2 0 920 0 38157 1336
p 2 0 920 0 37843 1329
p 2 0 920 0 37535 1328
p 2 0 920 0 37757 1322
p 2 1 919 0 37653 1338
p 2 0 920 0 37008 1328
p 2 0 920 0 36805 1324
p 2 0 920 0 36579 1318
p 2 0 920 0 36767 1336
p 2 0 920 0 35928 1333
p 2 0 920 0 35745 1329
p 2 0 920 0 35502 1327
p 2 0 920 0 35611 1332
p 2 0 920 0 35287 1319
p 2 0 920 0 35402 1331
p 2 0 920 0 35430 1338
p 2 0 920 0 35018 1330
p 2 2 918 0 34844 1325
p 2 0 920 0 34364 1312
p 2 0 920 0 34392 1314
p 2 0 920 0 34295 1316
p 2 0 920 0 33751 1306
p 2 1 919 0 33839 1320
p 2 0 920 0 33245 1305
p 2 0 920 0 33583 1317
p 2 0 920 0 32932 1300
p 2 0 920 0 33032 1307
p 2 0 920 0 32911 1301
p 2 0 920 0 32913 1313
p 2 0 920 0 32416 1296
p 2 0 920 0 32268 1318
p 2 0 920 0 32094 1303
p 2 0 920 0 32249 1299
p 2 0 920 0 31876 1304
p 2 0 920 0 31697 1299
p 2 0 920 0 31459 1299
p 2 0 920 0 31616 1307
i 2 920 0 0 129831 5636
p 2 0 913 7 63836 1618
p 2 0 915 5 65486 1645
p 2 0 916 4 65620 1645
p 2 0 915 5 66041 1663
p 2 0 917 3 66068 1657
p 2 0 918 2 66148 1663
p 2 0 915 5 66011 1658
p 2 0 919 1 65531 1646
p 2 0 916 4 65991 1645
p 2 0 919 1 66548 1647
p 2 0 914 6 66117 1634
p 2 0 916 4 65982 1653
p 2 0 915 5 66235 1647
p 2 0 915 5 65766 1670
p 2 0 915 5 65810 1665
p 2 0 918 2 65580 1664
p 2 0 917 3 65423 1653
p 2 0 919 1 66126 1664
p 2 0 917 3 66414 1658
p 2 0 918 2 65485 1649
p 2 0 918 2 65149 1657
p 2 0 918 2 65770 1655
p 2 0 914 6 65669 1640
p 2 0 916 4 65340 1658
p 2 0 914 6 65791 1657
p 2 0 916 4 65530 1656
p 2 0 914 6 65406 1663
p 2 0 917 3 65044 1658
p 2 0 914 6 65335 1652
p 2 0 919 1 65145 1644
p 2 0 917 3 65063 1643
p 2 0 917 3 65122 1632
p 2 0 918 2 64794 1635
p 2 0 916 4 65190 1644
p 2 0 912 8 64630 1630
p 2 0 914 6 64719 1636
p 2 0 915 5 65152 1646
p 2 0 915 5 65226 1638
p 2 0 913 7 64282 1651
p 2 0 917 3 64206 1644
p 2 0 913 7 64767 1646
p 2 0 919 1 64272 1645
p 2 0 915 5 64224 1640
p 2 0 918 2 64650 1642
p 2 0 917 3 64254 1639
p 2 0 919 1 64500 1638
p 2 0 913 7 64325 1628
p 2 0 916 4 64538 1647
p 2 0 916 4 64586 1633
p 2 0 916 4 64601 1644
p 2 0 914 6 64310 1649
p 2 0 916 4 64258 1647
p 2 0 914 6 64241 1647
p 2 0 918 2 63960 1643
p 2 0 916 4 64026 1638
p 2 0 919 1 64387 1653
p 2 0 917 3 64157 1632
p 2 0 918 2 63920 1638
p 2 0 920 0 63799 1642
p 2 0 916 4 64207 1625
p 2 0 917 3 63983 1642
p 2 0 916 4 63978 1642
p 2 0 915 5 64289 1640
p 2 0 915 5 63979 1658
p 2 0 915 5 52052 1519
i 2 920 0 0 123833 5455
p 2 0 912 8 55683 1478
p 2 0 914 6 63169 1559
p 2 0 914 6 60481 1534
p 2 0 916 4 62929 1574
p 2 0 915 5 61477 1542
p 2 0 914 6 63422 1590
p 2 0 916 4 61564 1538
p 2 0 915 5 63206 1566
p 2 0 914 6 61588 1546
p 2 0 912 8 62650 1554
p 2 0 915 5 62190 1557
p 2 0 912 8 63186 1574
p 2 0 912 8 62330 1550
p 2 0 912 8 62981 1568
p 2 0 912 8 62605 1563
p 2 0 914 6 63043 1574
p 2 0 916 4 62585 1552
p 2 0 918 2 63241 1577
p 2 0 918 2 62886 1563
p 2 0 919 1 63142 1582
p 2 0 920 0 62977 1585
p 2 0 917 3 63077 1578
p 2 0 917 3 63047 1585
p 2 0 919 1 63189 1595
p 2 0 916 4 62236 1567
p 2 0 914 6 62954 1573
p 2 0 917 3 62049 1567
p 2 0 918 2 62763 1572
p 2 0 912 8 62289 1551
